company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Novo Nordisk,4.1,877,40,78,"Job Security, Company Culture, Work Life Balance",,High
PNC Infratech,3.9,877,3,54,Job Security,Promotions / Appraisal,Average
Kirloskar Oil Engines,4.2,876,--,46,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,High
Fidelity Investments,4.3,871,1,92,"Work Life Balance, Job Security, Company Culture",,High
Dhoot Transmission,3.7,870,8,50,,"Salary & Benefits, Promotions / Appraisal, Job Security",Average
Incedo,3.3,870,21,159,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
H.G. Infra Engineering,4.3,870,11,70,"Skill Development / Learning, Salary & Benefits, Company Culture",,High
PayPal,3.9,869,97,196,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",Average
Jacobs Engineering Group,4.1,869,10,68,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
The Ramco Cements,4.2,868,--,50,"Job Security, Company Culture, Work Life Balance",,High
Parexel International,3.9,867,11,71,"Job Security, Company Culture",Promotions / Appraisal,Average
NielsenIQ,3.9,867,43,154,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Rockman Industries,3.9,866,5,73,,,Average
Kinara Capital,4.5,866,30,58,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Aarvee Associates,4.0,864,2,68,Work Life Balance,Promotions / Appraisal,Average
JW Marriott,4.1,862,--,39,"Job Security, Skill Development / Learning, Company Culture",,High
Zf Rane Automotive,4.0,862,--,48,Skill Development / Learning,Promotions / Appraisal,Average
Stanza Living,3.0,862,22,75,,"Job Security, Promotions / Appraisal, Company Culture",Below Average
Tata Consumer Products,3.7,862,12,59,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
JK Lakshmi Cement,3.9,861,2,56,,,Average
Softenger,4.3,860,12,46,"Work Life Balance, Company Culture, Work Satisfaction",,High
Pacific BPO,3.5,860,73,68,,"Promotions / Appraisal, Skill Development / Learning, Company Culture",Average
Siemens Gamesa Renewable Power Private Limited,4.1,859,21,52,"Work Life Balance, Company Culture, Work Satisfaction",,High
Edelweiss Tokio Life Insurance,3.7,858,47,42,,"Promotions / Appraisal, Work Satisfaction",Average
HPCL-Mittal Energy Limited,4.3,858,--,33,"Job Security, Salary & Benefits, Work Life Balance",,High
OM Logistics,4.0,858,9,56,Job Security,Promotions / Appraisal,Average
Dassault Systemes,4.0,857,--,143,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Adani Ports and SEZ,3.8,856,--,57,,Promotions / Appraisal,Average
Petrofac,4.4,855,11,40,"Salary & Benefits, Work Life Balance, Company Culture",,High
Strides Pharma,4.0,855,4,57,Skill Development / Learning,"Job Security, Promotions / Appraisal",Average
Onward Technologies Inc,3.1,854,23,71,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
Viraj Profiles,3.9,854,7,71,Skill Development / Learning,"Promotions / Appraisal, Company Culture",Average
Barbeque Nation,4.0,853,16,32,"Company Culture, Job Security, Skill Development / Learning",,Average
Tikona Infinet,3.6,853,--,27,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Power Grid Corporation of India,4.3,850,--,62,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Prodapt,3.7,850,16,91,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CenturyPly,3.9,849,5,60,Salary & Benefits,Promotions / Appraisal,Average
ZF Steering Gear,3.8,847,3,37,,Promotions / Appraisal,Average
MDIndia Health Insurance TPA,3.8,847,19,56,,"Promotions / Appraisal, Salary & Benefits",Average
Evision Technoserve,4.8,846,--,15,"Company Culture, Work Satisfaction, Work Life Balance",,High
Colliers International,4.0,842,21,57,,,Average
Ceasefire Industries,3.3,841,5,85,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
SBFC Finance,3.7,841,25,55,,"Promotions / Appraisal, Company Culture, Job Security",Average
Orchids International School,3.0,840,20,86,,"Promotions / Appraisal, Work Satisfaction, Job Security",Below Average
Gannon Dunkerley & Co.,3.7,840,--,36,,"Salary & Benefits, Promotions / Appraisal, Company Culture",Average
Sri Chaitanya Educational Institutions,3.8,839,--,35,,"Promotions / Appraisal, Salary & Benefits",Average
1point1 Solutions,3.4,839,23,68,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Fusion Microfinance,4.1,835,10,38,"Job Security, Skill Development / Learning, Salary & Benefits",,High
Diageo,4.1,835,98,61,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,High
Hyundai Mobis,3.9,833,24,58,"Job Security, Salary & Benefits",Promotions / Appraisal,Average
TKIL,4.2,832,3,56,"Job Security, Company Culture, Work Life Balance",,High
Mando Automotive,3.9,828,--,47,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Air India,3.8,827,13,101,,Promotions / Appraisal,Average
The Akshaya Patra Foundation,4.7,824,4,34,"Company Culture, Work Life Balance, Job Security",,High
Caratlane Trading,4.3,824,1,44,"Skill Development / Learning, Company Culture, Job Security",,High
Zepto,3.7,824,74,161,,"Promotions / Appraisal, Work Life Balance, Job Security",Average
Syngenta,4.2,824,18,60,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
Kendriya Vidyalaya Sangathan,4.4,824,--,78,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",High
Genius Consultants,3.8,824,1,48,,"Promotions / Appraisal, Salary & Benefits",Average
Teva Pharmaceuticals,4.0,823,28,55,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Average
Piramal Pharma,4.0,822,252,83,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal,Average
CALIBEHR,4.1,822,6,54,"Skill Development / Learning, Company Culture",Promotions / Appraisal,High
BGR Energy Systems,3.7,821,--,42,,"Promotions / Appraisal, Salary & Benefits",Average
Infra.Market,4.1,821,13,52,"Salary & Benefits, Company Culture, Work Life Balance",,High
Adani Green Energy,4.1,820,2,82,"Job Security, Salary & Benefits, Skill Development / Learning",,High
CarDekho,3.7,818,36,67,,"Promotions / Appraisal, Job Security",Average
XcelServ Solutions,4.5,817,--,11,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,High
Jubilant Pharmova,3.9,814,8,56,,Promotions / Appraisal,Average
Northern Trust,3.8,814,1,96,,Promotions / Appraisal,Average
Sundaram Finance,4.2,814,14,30,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
V2 Retail,3.4,813,4,51,,"Job Security, Company Culture, Work Satisfaction",Average
Kirloskar Brothers,3.9,813,5,64,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
ICICI Prudential Mutual Fund,3.8,811,--,64,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
eClinicalWorks,3.9,810,10,64,"Job Security, Salary & Benefits, Work Life Balance","Skill Development / Learning, Promotions / Appraisal",Average
Nasser S. Al Hajri Corporation,3.5,810,--,24,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",Average
Shalby Hospitals,4.5,809,28,30,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Tube Investments of India,4.0,809,25,43,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Vistaar Finance,4.1,808,1,26,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Serco,4.4,807,--,31,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,High
TradeIndia (Infocom Network Private Limited),3.3,807,24,69,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
iQor Global Services,3.6,807,4,24,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Spandana Sphoorty Financial,3.8,807,8,37,,,Average
TechnipFMC,4.0,807,--,65,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Unicharm,4.2,806,--,50,"Salary & Benefits, Job Security, Skill Development / Learning",,High
AJIO,3.7,806,--,64,,Promotions / Appraisal,Average
KIMS Hospital,4.0,805,--,31,"Skill Development / Learning, Job Security, Work Life Balance",,Average
Hindustan Zinc,3.9,803,--,41,Salary & Benefits,"Work Life Balance, Company Culture, Promotions / Appraisal",Average
JTEKT,4.2,802,--,59,"Company Culture, Job Security, Skill Development / Learning",,High
Rashmi Metaliks,3.5,802,10,69,,"Company Culture, Job Security, Work Satisfaction",Average
Imperial Auto Industries,3.9,801,2,52,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Grant Thornton,3.7,798,73,96,Job Security,Promotions / Appraisal,Average
Capital Numbers Infotech,4.6,798,14,30,"Work Life Balance, Company Culture, Work Satisfaction",,High
MakeMyTrip,3.7,796,14,115,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Metropolis Healthcare,4.1,795,15,44,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal,High
Digit Insurance,3.8,795,13,82,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
T-Systems ICT India,3.8,794,33,83,Work Life Balance,Promotions / Appraisal,Average
Ahluwalia Contracts India,4.1,794,20,45,"Job Security, Skill Development / Learning",,High
Nilkamal,3.9,794,8,50,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Consolidated Contractors,4.5,793,--,32,"Work Satisfaction, Work Life Balance, Skill Development / Learning",,High
Salesforce,4.1,793,166,256,"Salary & Benefits, Work Life Balance, Company Culture",,High
Centre for Development of Advanced Computing,3.8,793,--,92,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Average
Pizza Hut,4.0,792,--,43,"Skill Development / Learning, Company Culture, Job Security",,Average
VIP Industries,3.9,792,5,38,,"Promotions / Appraisal, Job Security",Average
Arvind Lifestyle Brands,4.1,792,4,13,"Company Culture, Work Life Balance, Skill Development / Learning",,High
VeeTechnologies,3.8,790,18,80,Job Security,Promotions / Appraisal,Average
Colgate Palmolive,4.2,790,--,68,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Dana Anand,4.2,790,--,38,"Job Security, Skill Development / Learning, Company Culture",,High
Secure Meters,4.1,788,35,62,"Job Security, Company Culture, Work Life Balance",,High
Birla Corporation,4.2,786,1,52,"Job Security, Work Life Balance, Company Culture",,High
Gmmco,4.1,785,1,35,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,High
FLSmidth,3.7,785,9,33,Work Life Balance,"Job Security, Promotions / Appraisal",Average
LOREAL,4.0,783,11,57,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Uber,4.2,783,1,148,"Company Culture, Work Life Balance, Salary & Benefits",,High
Hathway,3.5,782,3,41,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
TK Elevator,4.0,782,--,49,"Job Security, Work Life Balance",Promotions / Appraisal,Average
TK Elevator,4.0,782,--,49,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Patra Corporation,3.8,781,8,69,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal",Average
SHYAM METALICS AND ENERGY,3.6,781,1,80,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Vedanta Aluminium,3.9,781,--,43,"Salary & Benefits, Job Security",Work Satisfaction,Average
Punj Lloyd,4.4,780,--,18,"Work Life Balance, Company Culture, Work Satisfaction",,High
Visionet Systems,3.2,779,14,65,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
United Alliance Technology,4.9,777,--,5,"Company Culture, Work Life Balance, Work Satisfaction",,High
Lemon Tree Hotels,4.2,777,--,44,"Job Security, Company Culture, Skill Development / Learning",,High
Indium Software,4.1,777,13,121,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
Sundaram Clayton,4.1,776,5,27,"Skill Development / Learning, Salary & Benefits, Company Culture",,High
Aspire Systems,3.9,776,150,110,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Willis Towers Watson,3.8,776,--,77,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
MAHLE ANAND Filter Systems,4.0,775,--,27,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Hikal,3.9,775,67,54,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
AstraZeneca,4.2,775,142,48,"Work Life Balance, Company Culture, Job Security",,High
Sri Chaitanya Techno Schools,3.7,772,--,45,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Volkswagen,4.2,772,--,43,"Work Life Balance, Company Culture, Skill Development / Learning",,High
HFCL,4.1,771,1,54,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,High
Test Yantra Software Solutions,3.3,771,1,115,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Indira IVF Hospital,3.9,770,73,41,Skill Development / Learning,,Average
Citco,3.1,769,74,125,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Astral Pipe,4.1,768,1,56,"Job Security, Work Life Balance, Skill Development / Learning",,High
Amara Raja Group,4.2,768,1,65,"Job Security, Skill Development / Learning, Company Culture",,High
Perfetti Van Melle,4.2,766,9,24,"Company Culture, Work Life Balance, Work Satisfaction",,High
City Union Bank,3.3,766,26,74,,"Work Life Balance, Promotions / Appraisal, Company Culture",Average
Pernod Ricard,3.8,766,--,42,Salary & Benefits,Promotions / Appraisal,Average
Allianz Technology,4.2,766,1,58,"Work Life Balance, Company Culture, Job Security",,High
Troikaa Pharmaceuticals,3.6,763,3,49,,"Job Security, Company Culture, Work Satisfaction",Average
INDO-MIM,4.2,763,1,54,"Job Security, Skill Development / Learning, Work Life Balance",,High
Pricol,4.0,762,4,37,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,Average
Air India Sats Airport Services,3.7,762,1,52,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Innova Solutions,3.5,761,51,81,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Apex Group,2.7,761,89,121,,"Promotions / Appraisal, Job Security, Company Culture",Below Average
Temenos,3.3,759,15,79,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Apotex Research,4.1,758,10,24,"Work Life Balance, Company Culture",Promotions / Appraisal,High
Meril,3.7,758,29,46,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Ford Business Solutions,4.4,758,102,43,"Company Culture, Work Life Balance, Work Satisfaction",,High
Mahindra First Choice Wheels,3.8,756,1,39,,Promotions / Appraisal,Average
Leadec India,4.1,756,32,61,"Company Culture, Job Security, Work Life Balance",,High
Next Education India,3.7,755,48,39,,"Promotions / Appraisal, Job Security",Average
Federal Bank,3.8,755,--,120,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
SK Finance Limited,4.3,754,7,56,"Skill Development / Learning, Company Culture, Job Security",,High
London Stock Exchange Group,4.1,754,--,124,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
Feedback Infrastructure Services,3.5,753,11,38,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Skill Lync,3.1,751,--,88,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
DLF,4.0,751,2,70,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,Average
ValueMomentum,3.3,751,21,80,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Otis Elevator,4.0,749,45,46,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Schaeffler India,4.2,749,--,49,"Job Security, Work Life Balance, Skill Development / Learning",,High
Kalpataru Group,4.0,748,1,47,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Cult.fit,3.7,747,16,68,,"Job Security, Promotions / Appraisal",Average
Egis  India Consulting Engineers,4.1,744,3,48,"Work Life Balance, Company Culture, Work Satisfaction",,High
Edubridge Learning,4.1,743,12,40,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Aparna Constructions and Estates,4.1,742,29,79,"Job Security, Skill Development / Learning, Work Life Balance",,High
