company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Glenmark Pharmaceuticals,4.0,2.7k,86,126,Skill Development / Learning,Promotions / Appraisal,Average
Reliance Digital,4.2,2.7k,--,106,"Skill Development / Learning, Job Security, Company Culture",,High
Aarti Industries,4.2,2.6k,26,273,"Job Security, Work Life Balance, Skill Development / Learning",,High
Synechron,3.6,2.6k,99,327,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
24/7 Customer,3.5,2.6k,34,173,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Birlasoft,3.7,2.6k,506,273,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
MRF Tyres,3.7,2.6k,14,281,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",Average
Paras Hospital,4.5,2.6k,29,74,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Hindustan Coca Cola Beverages,4.2,2.6k,33,118,"Salary & Benefits, Skill Development / Learning, Job Security",,High
Honda Motorcycle & Scooter,4.1,2.6k,--,147,"Job Security, Work Life Balance, Company Culture",,High
Kotak Mahindara Life Insurance,3.8,2.6k,92,207,Job Security,Promotions / Appraisal,Average
PNB MetLife,3.4,2.6k,292,141,,"Job Security, Work Satisfaction, Promotions / Appraisal",Average
DTDC Express,3.8,2.6k,24,131,,"Promotions / Appraisal, Salary & Benefits",Average
JK Cement,4.1,2.6k,--,231,"Salary & Benefits, Job Security, Company Culture",,High
UnitedHealth,4.1,2.6k,--,81,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
Reliance Nippon Life Insurance,3.7,2.6k,3,120,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Ceat Tyres,4.0,2.6k,16,149,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
ABB Group,4.1,2.5k,1,214,"Job Security, Work Life Balance, Company Culture",,High
Dabur,3.8,2.5k,27,204,,Promotions / Appraisal,Average
HARMAN,3.8,2.5k,219,241,Work Life Balance,Promotions / Appraisal,Average
NatWest Group,4.0,2.5k,--,190,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
KPIT Technologies,3.5,2.5k,17,268,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
GeBBS Healthcare Solutions,3.7,2.5k,25,134,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Conduent,3.5,2.5k,94,178,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
InterGlobe Aviation,3.6,2.5k,45,355,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
IGT Solutions,3.3,2.5k,86,196,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CMS IT Services,3.1,2.5k,21,116,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
RSPL Group,4.2,2.4k,20,180,"Job Security, Skill Development / Learning, Work Life Balance",,High
State Street Corporation,3.8,2.4k,18,211,Job Security,Promotions / Appraisal,Average
TVS Credit,4.4,2.4k,31,94,"Company Culture, Job Security, Skill Development / Learning",,High
Sahrudaya Healthcare (Medicover Hospitals),4.7,2.4k,43,119,"Skill Development / Learning, Company Culture, Job Security",,High
Aditya Birla Sun Life Insurance,4.1,2.4k,--,123,"Company Culture, Job Security, Work Life Balance",,High
Alstom Transportation,3.8,2.4k,67,225,Job Security,Promotions / Appraisal,Average
Reliance SMSL,4.0,2.4k,--,145,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Average
ArcelorMittal Nippon Steel,4.1,2.4k,11,201,"Job Security, Skill Development / Learning, Work Life Balance",,High
ACC,3.9,2.4k,9,176,,Promotions / Appraisal,Average
